ISRAEL|MACEDONIA|1,62|2,15
SLIGO|FALKIRK|2,03|1,70
GREMIO|SPORT RECIFE|1,69|2,05
SENEGAL|BURKINA FASO|1,41|2,70
MONTREAL|CHICAGO|2,41|1,50
DALLAS|NEW YORK|2,19|1,60
LOS ANGELES|COLORADO|2,11|1,65
GIFU|EHIME|1,80|1,90
CHROBRY GLOGOW|LEGNICA|1,69|2,05
FREMAD AMAGER|ESBJERG|2,11|1,65
NYKOBING|BRABRAND|2,19|1,60
THISTED|HB KOGE|1,90|1,80
VOLENDAM|CAMBUUR|2,19|1,60
STROMMEN|ELVERUM|2,19|1,60
FLORO|TROMSDALEN|2,29|1,55
JERV|START|2,19|1,60
SYRIANSKA|TRELLEBORG|2,41|1,50
PORTSMOUTH|ROTHERHAM|1,90|1,80
TNS|LIVINGSTON|2,11|1,65
TUBIZE|ST.GILLOISE|2,19|1,60
HONKA|KPV|2,03|1,70
JARO|GRIFK|2,41|1,50
OPS|GNISTAN|2,11|1,65
OLIVEIRENSE|SP.COVILHA|1,76|1,95
EMPOLI|BARI|1,60|2,20
RANHEIM|KONGSVINGER|2,41|1,50
FREDRIKSTAD|ASANE|2,03|1,70
ULL KISA|MJONDALEN|2,41|1,50
GUIMARAES II|REAL QUELUZ|1,85|1,85
BOAVISTA|BRAGA|1,55|2,30
ASCOLI|PRO VERCELLI|1,55|2,30
CESENA|VENEZIA|1,60|2,20
CREMONESE|AVELLINO|1,69|2,05
FOGGIA|VIRTUS E.|1,72|2,00
FROSINONE|CITTADELLA|1,76|1,95
NOVARA|PARMA|1,53|2,35
PERUGIA|PESCARA|2,41|1,50
SPEZIA|CARPI|1,47|2,50
LATVIA|SWITZERLAND|2,41|1,50
LEVANGER|ARENDAL|2,11|1,65
ATVIDABERG|VARNAMO|2,41|1,50
GAIS|ORGRYTE|1,80|1,90
NORRBY|VARBERGS BOIS FC|2,41|1,50
SALERNITANA|TERNANA|1,69|2,05
BENFICA|CSKA|1,60|2,20
MAN.UTD.|BASEL|2,29|1,55
BAYERN|ANDERLECHT|3,55|1,25
CELTIC|PSG|2,70|1,40
ROMA|ATL.MADRID|1,60|2,20
CHELSEA|QARABAG|2,70|1,40
BARCELONA|JUVENTUS|1,96|1,75
OLYMPIAKOS|SPORTING|1,47|2,50
LIVERPOOL|SEVILLA|2,41|1,50
MARIBOR|SPARTAK MOSCOW|1,62|2,15
FEYENOORD|MAN.CITY|2,41|1,50
SHAKHTAR|NAPOLI|2,03|1,70
PORTO|BESIKTAS|1,76|1,95
RB LEIPZIG|MONACO|2,11|1,65
REAL MADRID|APOEL NICOSIA|4,70|1,15
TOTTENHAM|DORTMUND|2,29|1,55
SLAVIA PRAHA|MACCABI T.A.|1,60|2,20
VILLAREAL|ASTANA|2,19|1,60
DYNAMO KYIV|SKENDERBEU|2,41|1,50
YOUNG BOYS|PARTIZAN|1,90|1,80
BUYUKSEHIR|LUDOGORETS|1,69|2,05
HOFFENHEIM|BRAGA|2,03|1,70
AUSTRIA VIENNA|MILAN|1,96|1,75
RIJEKA|AEK|1,47|2,50
APOLLON LIM.|OLYMPIQUE LYON|1,80|1,90
ATALANTA|EVERTON|1,69|2,05
COPENHAGEN|LOK.MOSCOW|1,55|2,30
ZLIN|SHERIFF TIRASPOL|1,60|2,20
FCSB|PLZEN|1,72|2,00
HAPOEL B.S.|LUGANO|1,69|2,05
ARSENAL|KOLN|2,11|1,65
CRVENA ZVEZDA|BATE BORISOV|1,60|2,20
GUIMARAES|SALZBURG|1,76|1,95
OLYMPIQUE MARSEILLE|KONYASPOR|1,96|1,75
ZORYA|OSTERSUNDS|1,69|2,05
HERTHA|ATH.BILBAO|1,69|2,05
VITESSE|LAZIO|1,85|1,85
ZULTE-WAREGEM|NICE|1,85|1,85
SOCIEDAD|ROSENBORG|2,29|1,55
VARDAR|ZENIT|1,90|1,80
ORENBURG|KRYLYA SOVETOV|1,47|2,50
THROTTUR R.|LEIKNIR F.|2,55|1,45
DUMBARTON|CONNAH'S QN|2,41|1,50
ROSKILDE|VENDSYSSEL|2,03|1,70
BLACKPOOL|WIMBLEDON|1,69|2,05
BURY|SCUNTHORPE|1,85|1,85
DONCASTER|PETERBOROUGH|2,03|1,70
GILLINGHAM|SHREWSBURY|1,80|1,90
MILTON KEYNES DONS|OXFORD|1,80|1,90
OLDHAM|CHARLTON|1,62|2,15
SOUTHEND|ROCHDALE|1,90|1,80
WALSALL|PLYMOUTH|1,76|1,95
CAMBRIDGE|COLCHESTER|1,90|1,80
PORT VALE|NOTTS COUNTY|2,03|1,70
EXETER|NEWPORT|1,90|1,80
CARLISLE|MANSFIELD|1,96|1,75
GRIMSBY|CREWE|1,85|1,85
WYCOMBE|FOREST GREEN|1,96|1,75
SWINDON|BARNET|1,96|1,75
CHELTENHAM|STEVENAGE|1,90|1,80
LINCOLN CITY|LUTON|2,03|1,70
CHESTERFIELD|COVENTRY|1,90|1,80
MORECAMBE|ACCRINGTON|1,96|1,75
CRAWLEY TOWN|YEOVIL|1,96|1,75
SUTTON UNITED|MAIDENHEAD|1,96|1,75
MACCLESFIELD|WOKING|1,90|1,80
LEYTON|GUISELEY|2,03|1,70
HARTLEPOOL|MAIDSTONE UTD|1,80|1,90
HALIFAX|FYLDE|2,03|1,70
EBBSFLEET|EASTLEIGH|1,85|1,85
WREXHAM|BROMLEY|1,80|1,90
DAG & RED|GATESHEAD|1,96|1,75
BARROW|BOREHAM WOOD|1,80|1,90
TORQUAY|CHESTER|2,03|1,70
ALDERSHOT|SOLIHULL|2,19|1,60
WHITEHAWK|POOLE|1,90|1,80
CHELMSFORD CITY|BOGNOR REGIS TOWN|2,41|1,50
WESTON|HAVANT&WAT.|2,41|1,50
BATH CITY|WELLING UTD.|2,29|1,55
THURROCK|WEALDSTONE|2,41|1,50
EASTBOURNE|CHIPPENHAM|2,41|1,50
HAMEL|TRURO CITY|2,41|1,50
HAMPTON&R.|DARTFORD|2,03|1,70
ST.ALBANS|GLOUCESTER CITY|2,19|1,60
OXFORD CITY|BRAINTREE|2,41|1,50
HUNGERFORD|CONCORD|2,11|1,65
STOCKPORT|BRADFORD P.A.|2,11|1,65
TELFORD|B.SPARTANS|1,96|1,75
CHORLEY|YORK|1,96|1,75
NUNEATON|ALFRETON|2,19|1,60
SPENNYMOOR|GAINSBOROUGH|2,29|1,55
KIDDERMINSTER|BOSTON UNITED|2,19|1,60
FERRIBY|TAMWORTH|2,19|1,60
MANCHESTER|LEAMINGTON|2,29|1,55
CURZON|SALFORD CITY|2,11|1,65
HARROGATE T.|BRACKLEY TOWN|2,03|1,70
PORTIMONENSE|CHAVES|1,60|2,20
SPARTAK M.II|ENERGIYA V.|1,60|2,20
TAMBOV|OLIMPIETS|1,69|2,05
CRUSADERS|MOTHERWELL M20|2,25|1,50
PETERHEAD|ANAN ATHLETIC|2,41|1,50
DUNDEE UTD.|ALLOA|2,90|1,35
BERWICK|QUEEN OF S.|2,55|1,45
ST.MIRREN|HEARTS M20|2,70|1,40
HAMILTON M20|COVE|2,37|1,45
ABERDEEN M20|INVERNESS|2,41|1,50
BUCKIE|DUNFERMLINE|2,90|1,35
RAITH|ROSS COUNTY M20|2,41|1,50
ELGIN|BRAY|2,41|1,50
DEGERFORS|BROMMAPOJKARNA|2,29|1,55
WESTERLO|LEUVEN|2,11|1,65
BALTIKA|KUBAN|1,55|2,30
ZENIT II|FAKEL|1,60|2,20
BRESCIA|PALERMO|1,69|2,05
GABON|IVORY COAST|1,41|2,70
FINLAND|ICELAND|1,53|2,35
GEORGIA|R.IRELAND|1,55|2,30
ALBANIA|LIECHTENSTEIN|2,70|1,40
SERBIA|MOLDOVA|2,29|1,55
BYTOVIA BYTOW|POGON SIEDLCE|1,76|1,95
FALKENBERG|GEFLE|2,19|1,60
TRANMERE|DOVER ATHLETIC|1,80|1,90
STOMIL|LECCZNA BOGDANKA|1,85|1,85
RIO AVE|PIEDADE|1,76|1,95
RKC WAALWIJK|DE GRAAFSCHAP|2,41|1,50
CERCLE BRUGGE|LIERSE|2,19|1,60
WALES|AUSTRIA|1,55|2,30
UKRAINE|TURKEY|1,55|2,30
SPAIN|ITALY|1,55|2,30
CROATIA|KOSOVO|4,70|1,15
CYPRUS|B&H|1,72|2,00
GREECE|ESTONIA|1,53|2,35
BELGIUM|GIBRALTAR|-|-
HAUKAR|LEIKNIR|2,19|1,60
O'HIGGINS|SANTIAGO W.|1,80|1,90
VENEZUELA|COLOMBIA|1,96|1,75
CHILE|PARAGUAY|1,96|1,75
URUGUAY|ARGENTINA|1,90|1,80
BRAZIL|ECUADOR|2,19|1,60
