ROMA|ATL. MADRID|1.60|2.35
BAYERN M.|ANDERLECHT|3.80|1.25
CELTIC|PSG|2.45|1.55
MANCHESTER UTD|BASEL|2.35|1.60
PORTO|BESIKTAS|1.80|2.05
LIVERPOOL|SEVILLA|2.35|1.60
RB LEIPZIG|MONACO|2.05|1.80
TOTTENHAM|DORTMUND|2.15|1.70
BARCELONA|ATL. MADRID|1.60|2.35
BENFICA|ANDERLECHT|3.80|1.25
CHELSEA|PSG|2.45|1.55
OLYMPIAKOS|BASEL|2.35|1.60
FEYENOORD|BESIKTAS|1.80|2.05
MARIBOR|SEVILLA|2.35|1.60
SHAKHTAR|MONACO|2.05|1.80
SLAVIA PRAGUE|MACCABI TEL AVIV|1.60|2.35
YOUNG BOYS|PARTIZAN|1.90|1.90
ZLIN|SHERIFF TIRASPOL|1.60|2.35
AUSTRIA VIENNA|MILAN|2.05|1.80
DYNAMO KIEV|SKENDERBEU|2.60|1.50
HOFFENHEIM|BRAGA|2.10|1.75
CRVENA ZVEZDA|BATE BORISOV|1.60|2.35
GUIMARAES|SALZBURG|1.80|2.00
MARSEILLE|KONYASPOR|2.10|1.75
VITESSE|LAZIO|1.90|1.90
ARSENAL|KOLN|2.25|1.65
STEAUA B.|PLZEN|1.75|2.10
VILLARREAL|MACCABI TEL AVIV|1.60|2.35
ATALANTA|PARTIZAN|1.90|1.90
RIJEKA|SHERIFF TIRASPOL|1.60|2.35
BASAKSEHIR|MILAN|2.05|1.80
FC COPENHAGEN|SKENDERBEU|2.60|1.50
APOLLON LIM.|BRAGA|2.10|1.75
ZORYA|BATE BORISOV|1.60|2.35
HERTHA|SALZBURG|1.80|2.00
VARDAR|KONYASPOR|2.10|1.75
ZULTE-WAREGEM|LAZIO|1.90|1.90
H. BEER SHEVA|KOLN|2.25|1.65
REAL SOCIEDAD|PLZEN|1.75|2.10
MANCHESTER CITY|LIVERPOOL|2.45|1.55
EVERTON|TOTTENHAM|1.85|1.95
ARSENAL|BOURNEMOUTH|2.90|1.40
STOKE|MANCHESTER UTD|1.90|1.90
SWANSEA|NEWCASTLE|1.70|2.15
BRIGHTON|LIVERPOOL|2.45|1.55
SOUTHAMPTON|TOTTENHAM|1.85|1.95
LEICESTER|BOURNEMOUTH|2.90|1.40
BURNLEY|MANCHESTER UTD|1.90|1.90
WEST HAM|NEWCASTLE|1.70|2.15
LEGANES|GETAFE|1.50|2.60
VALENCIA|ATL. MADRID|1.75|2.10
BARCELONA|ESPANYOL|2.90|1.40
ATH. BILBAO|GIRONA|1.85|1.95
VILLARREAL|BETIS|1.80|2.00
REAL MADRID|GETAFE|1.50|2.60
SEVILLA|ATL. MADRID|1.75|2.10
DEP. LA CORUNA|ESPANYOL|2.90|1.40
CELTA|GIRONA|1.85|1.95
MALAGA|BETIS|1.80|2.00
HAMBURGER|RB LEIPZIG|1.90|1.90
MAINZ|LEVERKUSEN|2.00|1.80
FREIBURG|DORTMUND|2.25|1.65
HOFFENHEIM|BAYERN M.|2.90|1.40
SCHALKE 04|STUTTGART|1.95|1.85
WOLFSBURG|RB LEIPZIG|1.90|1.90
AUGSBURG|LEVERKUSEN|2.00|1.80
BORUSSIA M.|DORTMUND|2.25|1.65
HERTHA|BAYERN M.|2.90|1.40
VERONA|FIORENTINA|1.90|1.90
LAZIO|MILAN|2.15|1.70
CAGLIARI|CROTONE|1.95|1.85
BENEVENTO|TORINO|2.10|1.75
SAMPDORIA|ROMA|2.35|1.60
BOLOGNA|FIORENTINA|1.90|1.90
UDINESE|MILAN|2.15|1.70
JUVENTUS|CROTONE|1.95|1.85
INTER|TORINO|2.10|1.75
ATALANTA|ROMA|2.35|1.60
LILLE|BORDEAUX|1.75|2.10
NICE|MONACO|2.25|1.65
CAEN|DIJON|1.80|2.00
TROYES|TOULOUSE|1.75|2.10
LYON|GUINGAMP|2.60|1.50
METZ|BORDEAUX|1.75|2.10
STRASBOURG|MONACO|2.25|1.65
MONTPELLIER|DIJON|1.80|2.00
ST. ETIENNE|TOULOUSE|1.75|2.10
MARSEILLE|GUINGAMP|2.60|1.50
USA|COSTA RICA|1.60|2.30
MEXICO|PANAMA|1.80|1.95
TRINIDAD&TOBAGO|COSTA RICA|1.60|2.30
BULGARIA|SWEDEN|1.60|2.30
FRANCE|NETHERLANDS|1.80|2.00
HUNGARY|LATVIA|1.80|2.00
BELGIUM|GIBRALTAR (+6)||
PORTUGAL|F. ISLANDS (+3)||
CZECH REPUBLIC|GERMANY|2.00|1.80
LITHUANIA|SCOTLAND|1.60|2.30
ROMANIA|ARMENIA|1.90|1.90
SAN MARINO (+2)|NORTHERN IRELAND||
ALBANIA|LIECHTENSTEIN|2.90|1.35
GEORGIA|IRELAND|1.60|2.30
ISRAEL|MACEDONIA|1.70|2.15
UKRAINE|TURKEY|1.60|2.30
CROATIA|TZV KOS. (+3)||
CYPRUS|SWEDEN|1.60|2.30
GREECE|NETHERLANDS|1.80|2.00
LUXEMBOURG|LATVIA|1.80|2.00
SWITZERLAND|GIBRALTAR (+6)||
KAZAKHSTAN|F. ISLANDS (+3)||
DENMARK|GERMANY|2.00|1.80
NORWAY|SCOTLAND|1.60|2.30
SLOVAKIA|ARMENIA|1.90|1.90
MALTA (+2)|NORTHERN IRELAND||
FINLAND|LIECHTENSTEIN|2.90|1.35
SERBIA|IRELAND|1.60|2.30
SPAIN|MACEDONIA|1.70|2.15
WALES|TURKEY|1.60|2.30
VENEZUELA|COLOMBIA|1.95|1.85
URUGUAY|ARGENTINA|1.90|1.90
PERU|BOLIVIA|2.00|1.80
CHILE|COLOMBIA|1.95|1.85
BRAZIL|ARGENTINA|1.90|1.90
UGANDA|EGYPT|1.50|2.50
GHANA|CONGO|1.50|2.50
CAPE VERDE|SOUTH AFRICA|1.50|2.50
TUNISIA|D.R. CONGO|1.60|2.20
GABON|IVORY COAST|1.40|2.70
GUINEA|EGYPT|1.50|2.50
NIGERIA|CONGO|1.50|2.50
