CRVENA ZVEZDA|FLORIANA|2,70|1,40
MLADOST LUC.|INTER BAKU|1,90|1,80
DOMZALE|FLORA|1,96|1,75
MLADOST|GANDAZSAR|1,96|1,75
SIROKI BRIJEG|ORDABASY S.|1,72|2,00
LECH POZNAN|PELISTER|2,29|1,55
RANGERS|PROGRES N.|3,20|1,30
ST.JOHNSTONE|TRAKAI|2,19|1,60
VALLETTA|FOLGORE|2,03|1,70
VIDEOTON|BALZAN|2,70|1,40
ZELJEZNICAR|ZETA|1,80|1,90
STJARNAN|SHAMROCK|2,03|1,70
KR REYKJAVIK|SJK|1,85|1,85
SUNDSVALL|SIRIUS|1,80|1,90
MALMO|AFC UNITED|2,70|1,40
HALMSTAD|ELFSBORG|2,11|1,65
JONKOPINGS SODRA|GOTEBORG|1,80|1,90
AIK|OSTERSUNDS|1,76|1,95
OREBRO|NORRKOPING|2,29|1,55
HACKEN|HAMMARBY TFF|2,11|1,65
DJURGARDEN|KALMAR|2,03|1,70
SEOUL E.|DAEJEON CITIZEN|1,85|1,85
GUOAN BEIJING|JIANGSU|1,90|1,80
KURSK|BALTIKA|-|-
SIBIR|TOMSK|-|-
HAMMARBY TFF|OSTERSUNDS|-|-
NAFTAN|SLAVIA MOZYR|1,60|2,20
ROPS|ILVES|1,55|2,30
ZAGLEBIE|HAPOEL B.S.|-|-
SJK|PS KEMI|1,85|1,85
ROSENGARD W|BUNKEFLO W|3,60|1,20
STROMSGODSET|MOLDE|2,11|1,65
TRELLEBORG|BROMMAPOJKARNA|2,03|1,70
DALKURD FF|NORRBY|2,41|1,50
VARNAMO|HELSINGBORG|2,11|1,65
UTSIKTENS|ASSYRISKA BK|2,70|1,35
AKROPOLIS|SOLLENTUNA|2,25|1,50
VASTERAS|BRAGE|1,98|1,65
SLEIPNER|SYLVIA|2,37|1,45
TRISTAN SUAREZ|COLEGIALES|1,60|2,20
DUNDALK|GALWAY|2,70|1,40
VIKINGUR|VIKINGUR O.|2,19|1,60
BREIDABLIK|GRINDAVIK|2,03|1,70
COMERCIANTES UNIDOS|UNION COMERCIO|1,90|1,80
PATRONAT|ATLETICO TUCUMAN|1,62|2,15
ARSENAL DE SARANDI|TIGRE|1,69|2,05
ARSENAL DE SARANDI|TIGRE|-|-
CHACARITA|DEP.SANTAMARINA|1,62|2,15
INSTITUTO|FLANDRIA|1,60|2,20
BOTAFOGO|AVAI|1,72|2,00
ALDOSIVI|OLIMPO|1,69|2,05
VELEZ|TEMPERLEY|1,69|2,05
HURACAN AR.|BELGRANO|1,53|2,35
VELEZ|TEMPERLEY|-|-
CSA|FORTALEZA CE|1,80|1,90
ARGENTINOS JUNIORS|JUVENTUD U.G.|1,80|1,90
LAHTI|HIFK|1,41|2,70
MARIEHAMN|INTER TURKU|1,69|2,05
