NACIONAL M.|JUVENTUD L.P.|2,19|1,60
ORIENTE PETROLERO|NACIONAL POTOSI|2,55|1,45
PATRONAT|ATLETICO TUCUMAN|1,62|2,15
VASCO DA GAMA|ATLETICO GO|1,90|1,80
ATLETICO PR|VITORIA|1,72|2,00
ATLETICO RAFAELA|SARMIENTO|1,80|1,90	*
CHAPECOENSE|ATLETICO MINEIRO|1,96|1,75
SHEFFIELD W.|SUNDERLAND|1,69|2,05
VIITORUL|SALZBURG|1,69|2,05
HERTHA B.|STUTTGART|1.80|2.00
M' GLADBACH|KOLN|1,90|1,80
ALIANZA PETROLERA|DEPORTIVO PASTO|1,62|2,15
ULL KISA|START|2,19|1,60
BODO|STROMMEN|2,70|1,40
URAWA RD|TOKYO|2,19|1,60
OITA TRINITA|TOKYO VERDY|1,72|2,00
TEAM THOREN|VASALUNDS|1,98|1,65
ASSYRISKA|LULEA IFK|2,25|1,50
UTSIKTENS|ASSYRISKA BK|2,70|1,35
