M' GLADBACH|KOLN|1,90|1,80
ATH.BILBAO|GETAFE|1,80|1,90
DAC STREDA|ZILINA|1,90|1,80
VORSKLA POLTAVA|MARIUPOL|1,76|1,95
DYNAMO KYIV|STAL K.|2,70|1,40
MATTERSBURG|AUSTRIA VIENNA|1,90|1,80
BATE BORISOV|KRUMKACHY MINSK|2,90|1,35
RUDES|HAJDUK|1,90|1,80
TOLUCA|NECAXA|2,03|1,70
PORTO|MOREIRENSE|2,41|1,50
ROSTOV|KRASNODAR|1,47|2,50
KAYSERISPOR|GOZTEPE|1,90|1,80
OVIEDO|RAYO VALLECANO|1,60|2,20
MOESKROEN|GENT|1,76|1,95
DUNAV RUSE|LUDOGORETS|2,19|1,60
VIKINGUR O.|BREIDABLIK|2,29|1,55
VIKINGUR|KA AKUREYRI|2,19|1,60
VIKING|BRANN|1,80|1,90
CLUJ|VOLUNTARI|1,80|1,90
PARTIZAN|NAPREDAK|2,11|1,65
RADNIK SUR.|ZEMUN|1,60|2,20
BARCELONA|BETIS|3,20|1,30
PLATANIAS|PANATHINAIKOS|1,53|2,35
GIMNASTIC|ALMERIA|1,55|2,30
BOLOGNA|TORINO|1,69|2,05
UDINESE|CHIEVO|1,62|2,15
SASSUOLO|GENOA|1,80|1,90
LAZIO|SPAL|2,11|1,65
SAMPDORIA|BENEVENTO|1,80|1,90
INTER|FIORENTINA|2,03|1,70
CROTONE|MILAN|2,03|1,70
FENERBAHCE|TRABZON|1,96|1,75
ANTALYA|AKHISAR|1,85|1,85
AVAI|SAO PAULO|1,55|2,30
BAHIA|VASCO DA GAMA|1,72|2,00
PONTE PRETA|BOTAFOGO|1,47|2,50
CRUZEIRO|SPORT RECIFE|1,69|2,05
PSG|TOULOUSE|3,20|1,30
DINAMO Z.|SLAVEN|2,03|1,70
OSIJEK|INTER ZAPRESIC|1,72|2,00
AVES|BRAGA|1,62|2,15
MARITIMO|BOAVISTA|1,53|2,35
GRANADA|ALBACETE|1,76|1,95
LA CORUNA|REAL MADRID|2,41|1,50
PALMEIRAS|CHAPECOENSE|1,80|1,90
CORITIBA|SANTOS|1,53|2,35
NY CITY|NEW ENGLAND|2,70|1,40
SEATTLE|MINNESOTA|2,90|1,35
BOTOSANI|CON.CHIAJNA|1,62|2,15
ZAGLEBIE|WISLA KRAKOW|1,96|1,75
NORDSJAELLAND|HELSINGOR|2,55|1,45
SARPSBORG 08|STROMSGODSET|2,03|1,70
AKHMAT GROZNY|ARSENAL TULA|1,55|2,30
SUNDSVALL|KALMAR|1,69|2,05
OREBRO|HAMMARBY TFF|2,03|1,70
GEFLE|TRELLEBORG|2,03|1,70
SEPTEMVRI SOFIA|BEROE|1,62|2,15
UTRECHT II|OSS|2,55|1,45
PSV II|DE GRAAFSCHAP|2,11|1,65
DINAMO BUC.|SEPSI|1,85|1,85
LUGO|REUS|1,47|2,50
WINTERTHUR|SERVETTE|2,19|1,60
LEVANTE|VILLAREAL|1,55|2,30
ATROMITOS|APOLLON S.|1,55|2,30
BIELEFELD|BOCHUM|1,85|1,85
CHATEAUROUX|NIMES|1,80|1,90
KONYASPOR|GENCLERBIRLIGI|1,62|2,15
MAN.CITY|EVERTON|2,41|1,50
FEIRENSE|FERREIRA|1,55|2,30
VALUR|GRINDAVIK|2,70|1,40
STJARNAN|FJOLNIR|2,55|1,45
MALAGA|EIBAR|1,69|2,05
FLUMINENSE|ATLETICO MINEIRO|1,76|1,95
HAFNARFJORDUR|KR REYKJAVIK|-|-
LEON|MONTERREY|1,90|1,80
KANSAS CITY|DALLAS|1,76|1,95
COLORADO|D.C. UNITED|1,96|1,75
VANCOUVER|HOUSTON|2,11|1,65
GUADALAJARA|PUEBLA|2,11|1,65
SAN JOSE|PHILADELPHIA|2,11|1,65
CHANGCHUN|TIANJIN SONGJIANG|1,85|1,85
ZIZKOV|VITKOVICE|1,85|1,85
VISSEL KOBE|YOKOHAMA F.MARINOS|1,80|1,90
ODENSE|MIDTJYLLAND|2,11|1,65
DAEGU|SANGJU|1,80|1,90
INCHEON UNITED|POHANG STEELERS|1,76|1,95
REAL QUELUZ|SPORTING II|1,76|1,95
EXCELSIOR|FEYENOORD|2,41|1,50
AVARTA|MIDDELFART|2,25|1,50
NURNBERG|UNION BERLIN|1,96|1,75
INGOLSTADT|JAHN REGENSBURG|1,90|1,80
HOLSTEIN KIEL|GREUTHER FURTH|1,62|2,15
GUANGZHOU R&F|SHANDONG|2,70|1,40
HENAN JIANYE|CHONGQING|1,62|2,15
LOTTE|CZ JENA|1,62|2,15
WURZBURGER|HANSA|1,60|2,20
AMKAR|ZENIT|1,62|2,15
ANDERLECHT|ST.TRUIDEN|2,29|1,55
HB KOGE|NYKOBING|1,80|1,90
SKIVE|VEJLE KOLDING|2,11|1,65
FREDERICIA|ROSKILDE|2,19|1,60
FREMAD AMAGER|VIBORG|1,90|1,80
ESBJERG|THISTED|2,29|1,55
HUDDERSFIELD|NEWCASTLE|1,69|2,05
UTRECHT|WILLEM II|1,90|1,80
AJAX|GRONINGEN|2,70|1,40
LILLE|CAEN|1,90|1,80
DJURGARDEN|HALMSTAD|2,11|1,65
OSTERSUNDS|AIK|1,69|2,05
HELSINGBORG|GAIS|1,96|1,75
BROMMAPOJKARNA|VARNAMO|2,55|1,45
NEMAN GRODNO|DINAMO MINSK|1,60|2,20
FREIBURG|EINTR.FRANKFURT|1,72|2,00
WISLA PLOCK|LEGIA|1,90|1,80
DERRY CITY|DUNDALK|1,90|1,80
BEERSCHOT WILRIJK|TUBIZE|2,11|1,65
GREMIO|ATLETICO PR|1,72|2,00
HOBRO IK|LYNGBY|2,11|1,65
SPARTAK M.II|ROTOR|1,80|1,90
ZIRKA|ZORYA|1,72|2,00
KARPATY|OLEKSANDRIA|1,60|2,20
BASEL|LUGANO|3,20|1,30
GRASSHOPPERS|ST.GALEN|2,19|1,60
SION|LUZERN|2,19|1,60
AARAU|VADUZ|2,41|1,50
LASK|ALTACH|1,80|1,90
SALZBURG|ST.POLTEN|2,29|1,55
DINAMO MOSCOW|UFA|1,47|2,50
SPARTA|ZWOLLE|2,03|1,70
NAC BREDA|PSV|2,55|1,45
MINSK|SLAVIA MOZYR|1,60|2,20
TOTTENHAM|CHELSEA|1,96|1,75
OLYMPIQUE MARSEILLE|ANGERS|1,96|1,75
SETUBAL|CHAVES|1,53|2,35
VYSOCINA JIHLAVA|PLZEN|1,85|1,85
JABLONEC|DUKLA PRAHA|1,90|1,80
SIGMA O.|BRNO|1,80|1,90
BUDEJOVICE|HRADEC|1,85|1,85
VLASIM|VARNSDORF|1,80|1,90
FALKENBERG|ATVIDABERG|2,41|1,50
NORRBY|DALKURD FF|2,41|1,50
SLAVIA SOFIA|ETAR|1,62|2,15
KUPS|MARIEHAMN|1,90|1,80
VPS|ILVES|1,55|2,30
JJK|HELSINKI|2,41|1,50
VIITORUL|CS UNIVERZITATEA|1,53|2,35
GOTEBORG|HACKEN|1,96|1,75
SIRIUS|NORRKOPING|2,11|1,65
KORTRIJK|CLUB BRUGGE|1,96|1,75
DINAMO BREST|SHAKHTYOR|1,60|2,20
AARHUS|BRONDBY|2,11|1,65
AKRANES|IBV|2,55|1,45
ATALANTA|ROMA|2,03|1,70
M' GLADBACH|KOLN|1,90|1,80
ODD GRENLAND|SANDEFJORD|1,80|1,90
ROSENBORG|HAUGESUND|2,41|1,50
SOGNDAL|KRISTIJANSUND|1,85|1,85
STABAEK|MOLDE|2,19|1,60
TROMSO|AALESUND|2,03|1,70
LKS NIECIECZA|LECH POZNAN|1,80|1,90
BORAC C.|CRVENA ZVEZDA|2,41|1,50
LEVADIAKOS|PAOK|1,85|1,85
KERKYRA|PANIONIOS|1,47|2,50
AEK|PANETOLIKOS|1,72|2,00
MACVA|RAD|1,69|2,05
ZLIN|KARVINA|1,80|1,90
OSTRAVA|TEPLICE|1,69|2,05
MAS TABORSKO|PRIBRAM|1,72|2,00
VEREYA|LOKOMOTIV PLOVDIV|1,72|2,00
MEDIAS|ACS TIMISOARA|1,60|2,20
GENK|CHARLEROI|1,80|1,90
TORPEDO ZHODINO|VITEBSK|1,60|2,20
COPENHAGEN|SONDERJYLLAND|2,03|1,70
JUVENTUS|CAGLIARI|2,29|1,55
PUSKAS|BALMAZUJVAROS|1,90|1,80
MEZOKOVESD|HONVED|1,96|1,75
LILLESTROM|VALERENGA|2,11|1,65
PIAST GLIWICE|KORONA KIELCE|1,96|1,75
BOHEMIANS 05|SLAVIA PRAHA|1,69|2,05
OPAVA|SOKOLOV|2,29|1,55
DEGERFORS|VARBERGS BOIS FC|1,90|1,80
AL SHABAB R.|AL QADISIYAH KHUBAR|2,03|1,70
XANTHI|LAMIA|1,53|2,35
ASTERAS TRIPOLIS|PAS GIANNINA|1,60|2,20
CELTA|SOCIEDAD|1,80|1,90
WOLFSBERGER|ADMIRA|1,69|2,05
STOKE|ARSENAL|2,03|1,70
SUNDERLAND|LEEDS|1,72|2,00
TWENTE|VVV VENLO|2,19|1,60
SCHALKE|RB LEIPZIG|1,90|1,80
TRNAVA|SLOVAN B.|1,80|1,90
CHERNOMORETS ODESSA|VERES|1,53|2,35
SHAKHTAR|OLIMPIK D.|2,70|1,40
RUBIN|ANZHI|1,55|2,30
BALTIKA|FAKEL|1,60|2,20
ZLATE MORAVCE|TATRAN PRESOV|1,76|1,95
TRENCIN|ZEMPLIN|2,19|1,60
SENICA|NITRA|1,72|2,00
SPARTAK S.|VOZDOVAC|1,80|1,90
