B.M'GLADBACH|KOLN|1.90|1.90
APOLLON L.|MIDTJYLLAND|1.75|1.85
BATE BORISOV|OLEKSANDRIYA|1.50|2.25
DINAMO Z.|SKENDERBEU|1.90|1.75
KRASNODAR|C.ZVEZDA|1.60|2.15
HAFNARFJORDUR|BRAGA|1.50|2.30
PAOK|OSTERSUNDS|1.65|2.05
VARDAR|FENERBAHCE|1.85|1.75
PLZEN|AEK LARNACA|1.60|2.05
ALTACH|MACCABI T.A.|1.50|2.35
LUDOGORETS|SUDUVA|2.25|1.50
PANATHINAIKOS|ATH BILBAO|1.50|2.25
AJAX|ROSENBORG|2.00|1.65
CLUB BRUGGE|AEK ATHENS|1.50|2.30
DOMZALE|MARSEILLE|1.90|1.75
LEGIA|SHERIFF T.|1.90|1.75
MILAN|SHKENDIJA|2.35|1.50
OSIJEK|AUSTRIA V.|1.50|2.30
VIITORUL C.|SALZBURG|1.60|2.05
PARTIZAN|VIDEOTON|1.90|1.75
EVERTON|HAJDUK SPLIT|1.90|1.75
MARITIMO|DYNAMO K.|1.50|2.30
ISTANBUL B.B.|SEVILLA|-|-
OLYMPIAKOS|RIJEKA|-|-
SHEFF.WED|SUNDERLAND|-|-
REAL M.|BARCELONA|-|-
CELTIC|ASTANA|-|-
H.BEER SHEVA|MARIBOR|-|-
ISTANBUL B.B.|SEVILLA|-|-
NAPOLI|NICE|-|-
OLYMPIAKOS|RIJEKA|-|-
APOLLON L.|MIDTJYLLAND|-|-
BATE BORISOV|OLEKSANDRIYA|-|-
DINAMO Z.|SKENDERBEU|-|-
KRASNODAR|C.ZVEZDA|-|-
HAFNARFJORDUR|BRAGA|-|-
PAOK|OSTERSUNDS|-|-
VARDAR|FENERBAHCE|-|-
PLZEN|AEK LARNACA|-|-
ALTACH|MACCABI T.A.|-|-
LUDOGORETS|SUDUVA|-|-
PANATHINAIKOS|ATH.BILBAO|-|-
AJAX|ROSENBORG|-|-
CLUB BRUGGE|AEK ATHENS|-|-
DOMZALE|MARSEILLE|-|-
LEGIA|SHERIFF T.|-|-
MILAN|SHKENDIJA|-|-
OSIJEK|AUSTRIA V.|-|-
VIITORUL C.|SALZBURG|-|-
PARTIZAN|VIDEOTON|-|-
EVERTON|HAJDUK SPLIT|-|-
MARITIMO|DYNAMO K.|-|-
SWANSEA|MAN.UTD|1.95|1.85
BOURNEMOUTH|WATFORD|1.95|1.85
BURNLEY|WEST BROM|1.55|2.45
LEICESTER|BRIGHTON|1.85|1.95
LIVERPOOL|CRYSTAL PALACE|2.45|1.55
SOUTHAMPTON|WEST HAM|1.95|1.85
STOKE CITY|ARSENAL|2.12|1.70
HUDDERSFIELD|NEWCASTLE|1.65|2.20
TOTTENHAM|CHELSEA|1.95|1.85
MAN.CITY|EVERTON|2.35|1.60
METZ|MONACO|2.80|1.45
LYON|BORDEAUX|2.50|1.55
MONTPELLIER|STRASBOURG|2.00|1.80
NICE|GUINGAMP|1.85|1.95
RENNES|DIJON|1.95|1.90
ST.ETIENNE|AMIENS|1.80|2.05
TROYES|NANTES|1.65|2.25
LILLE|CAEN|1.95|1.85
MARSEILLE|ANGERS|2.00|1.80
PSG|TOULOUSE|3.45|1.31
BAYERN M.|LEVERKUSEN|2.65|1.50
HAMBURGER|AUGSBURG|1.70|2.15
HERTHA B.|STUTTGART|1.85|2.00
HOFFENHEIM|WERDER B.|2.75|1.45
MAINZ|HANNOVER|1.80|2.05
WOLFSBURG|DORTMUND|2.50|1.55
SCHALKE|LEIPZIG|1.95|1.90
FREIBURG|EINTRACHT F.|1.75|2.12
B.M'GLADBACH|KOLN|1.90|1.90
JUVENTUS|CAGLIARI|2.45|1.55
VERONA|NAPOLI|2.35|1.60
ATALANTA|ROMA|2.05|1.75
BOLOGNA|TORINO|1.75|2.05
CROTONE|MILAN|2.10|1.75
INTER|FIORENTINA|2.12|1.70
LAZIO|SPAL|2.20|1.70
SAMPDORIA|BENEVENTO|1.90|1.95
SASSUOLO|GENOA|1.85|1.95
UDINESE|CHIEVO|1.65|2.20
LEGANES|ALAVES|1.45|2.65
VALENCIA|LAS PALMAS|2.15|1.70
CELTA VIGO|R.SOCIEDAD|1.85|1.90
GIRONA|ATL.MADRID|1.80|2.00
SEVILLA|ESPANYOL|2.15|1.70
ATH BILBAO|GETAFE|1.85|1.90
BARCELONA|BETIS|3.40|1.30
LA CORUNA|REAL M.|2.60|1.50
LEVANTE|VILLARREAL|1.60|2.30
MALAGA|EIBAR|1.70|2.10
REAL M.|BARCELONA|3.30|1.29
LANUS|UNION DE SANTA FE|1.45|2.45
RAPID|STURM|2.10|1.70
WOLFSBERGER|ADMIRA|1.75|2.05
LASK|ALTACH|1.85|1.90
SALZBURG|ST.POLTEN|2.40|1.55
MATTERSBURG|AUSTRIA V.|1.95|1.80
STANDARD|WAREGEM|2.10|1.65
GENK|CHARLEROI|1.85|1.90
EUPEN|OOSTENDE|2.25|1.60
WAASLAND B.|LOKEREN|1.80|1.90
MECHELEN|ANTWERPEN|1.85|1.85
ANDERLECHT|ST.TRUIDEN|2.30|1.55
KORTRIJK|CLUB BRUGGE|2.00|1.70
MOUSCRON|GENT|1.80|1.95
SPORT BOYS|NACIONAL P.|2.40|1.45
U.SUCRE|GUABIRA|2.25|1.50
BOTAFOGO RJ|FLAMENGO|1.55|2.30
GREMIO|CRUZEIRO|1.55|2.30
TIGRES|BUCARAMANGA|1.32|3.10
CORTULUA|AGUILAS D.|1.45|2.55
A.PETROLERA|DEP.PASTO|1.60|2.20
PATRIOTAS|SANTA FE|1.35|2.90
DEP.CALI|IND.MEDELLIN|1.75|1.95
ATL.NACIONAL|AMERICA DE CALI|1.55|2.30
HUILA|JUNIOR|1.50|2.38
ONCE CALDAS|DEP.TOLIMA|1.55|2.30
MILLONARIOS|JAGUARES|1.55|2.25
HORSENS|AALBORG|1.75|1.95
RANDERS|SILKEBORG|1.80|1.95
FC COPENHAGEN|SONDERJYSKE|1.95|1.80
ODENSE|MIDTJYLLAND|2.10|1.65
HOBRO|LYNGBY|2.00|1.75
AARHUS|BRONDBY|2.10|1.65
NORDSJAELLAND|HELSINGOR|2.50|1.50
NORWICH|QPR|2.20|1.60
SHEFF.WED|SUNDERLAND|1.65|2.12
BRADFORD|BLACKBURN|1.55|2.35
BURY|BRISTOL R.|1.90|1.80
CHARLTON|NORTHAMPTON|1.85|1.85
DONCASTER|BLACKPOOL|1.75|2.00
FLEETWOOD|WIMBLEDON|1.55|2.25
MK DONS|GILLINGHAM|1.90|1.80
OLDHAM|WIGAN|1.55|2.35
PETERBOROUGH|ROTHERHAM|2.05|1.70
