Roma|Atl. Madrid
Bayern M.|Anderlecht
Celtic|PSG
Manchester Utd|Basel
Porto|Besiktas
Liverpool|Sevilla
RB Leipzig|Monaco
Tottenham|Dortmund
Barcelona|Juventus
Benfica|CSKA M.
Chelsea|Qarabag
Olympiakos|Sporting L.
Feyenoord|Manchester City
Maribor|Spartak M.
Shakhtar|Napoli
Slavia Prague|Maccabi Tel Aviv
Young Boys|Partizan
Zlin|Sheriff Tiraspol
Austria Vienna|Milan
Dynamo Kiev|Skenderbeu
Hoffenheim|Braga
Crvena Zvezda|BATE Borisov
Guimaraes|Salzburg
Marseille|Konyaspor
Vitesse|Lazio
Arsenal|Koln
Steaua B.|Plzen
Villarreal|FC Astana
Atalanta|Everton
Rijeka|AEK
Basaksehir|Ludogorets
FC Copenhagen|Lokomotiv M.
Apollon Lim.|Lyon
Zorya|Ostersunds
Hertha|Ath. Bilbao
Vardar|Zenit
Zulte-Waregem|Nice
H. Beer Sheva|Lugano
Real Sociedad|Rosenborg
Manchester City|Liverpool
Everton|Tottenham
Arsenal|Bournemouth
Stoke|Manchester Utd
Swansea|Newcastle
Brighton|West Bromwich
Southampton|Watford
Leicester|Chelsea
Burnley|Crystal Palace
West Ham|Huddersfield
Leganes|Getafe
Valencia|Atl. Madrid
Barcelona|Espanyol
Ath. Bilbao|Girona
Villarreal|Betis
Real Madrid|Levante
Sevilla|Eibar
Dep. La Coruna|Real Sociedad
Celta|Alaves
Malaga|Las Palmas
Hamburger|RB Leipzig
Mainz|Leverkusen
Freiburg|Dortmund
Hoffenheim|Bayern M.
Schalke 04|Stuttgart
Wolfsburg|Hannover
Augsburg|Koln
Borussia M.|Eintracht F.
Hertha|Werder
Verona|Fiorentina
Lazio|Milan
Cagliari|Crotone
Benevento|Torino
Sampdoria|Roma
Bologna|Napoli
Udinese|Genoa
Juventus|Chievo
Inter|Spal
Atalanta|Sassuolo
Lille|Bordeaux
Nice|Monaco
Caen|Dijon
Troyes|Toulouse
Lyon|Guingamp
Metz|PSG
Strasbourg|Amiens
Montpellier|Nantes
St. Etienne|Angers
Marseille|Rennes
USA|Costa Rica
Mexico|Panama
Trinidad&Tobago|Honduras
Bulgaria|Sweden
France|Netherlands
Hungary|Latvia
Belgium|Gibraltar (+6)
Portugal|F. Islands (+3)
Czech Republic|Germany
Lithuania|Scotland
Romania|Armenia
San Marino (+2)|Northern Ireland
Albania|Liechtenstein
Georgia|Ireland
Israel|Macedonia
Ukraine|Turkey
Croatia|TZV Kos. (+3)
Cyprus|Bosnia & Herzegovina
Greece|Estonia
Luxembourg|Belarus
Switzerland|Andorra (+4)
Kazakhstan|Montenegro
Denmark|Poland
Norway|Azerbaijan
Slovakia|Slovenia
Malta (+2)|England
Finland|Iceland
Serbia|Moldova
Spain|Italy
Wales|Austria
Venezuela|Colombia
Uruguay|Argentina
Peru|Bolivia
Chile|Paraguay
Brazil|Ecuador
Uganda|Egypt
Ghana|Congo
Cape Verde|South Africa
Tunisia|D.R. Congo
Gabon|Ivory Coast
Guinea|Libya
Nigeria|Cameroon
Morocco|Mali
Zambia|Algeria
Senegal|Burkina Faso
Japan|Australia
South Korea|Iran
Thailand|Iraq
China|Uzbekistan
Syria|Qatar
New Zealand|Solomon Islands
F. Islands U21|Denmark U21
Russia U21|Armenia U21
N. Ireland U21|Albania U21
Latvia U21|Ukraine U21
Estonia U21|Slovakia U21
Netherlands U21|England U21
Belarus U21|Greece U21
Cyprus U21|Malta U21
TZV Kosovo U21|Norway U21
Israel U21|Azerbaijan U21
Moldova U21|Croatia U21
Kazakhstan U21|Montenegro U21
Slovenia U21|Luxembourg U21
B&H U21|Romania U21
Serbia U21|Gibral.U21 (+3)
Georgia U21|Poland U21
Switzerland U21|Wales U21
Curico Unido|Palestino
San Felipe|Deportes Temuco
O Higgins|S. Wanderers
A. Italiano|U. De Chile
Iberia|Colo Colo
Chico|Leones
Santos DG|Guadalupe FC
Carmelita|Alajuelense
Gorica|Dugopolje
Solin|Sibenik
Hajduk II|Dinamo Z. II
Lucko|Novigrad
Kustosija|Sesvete
Dragovoljac|Varazdin
Hafnarfjordur|KR Reykjavik
Thor Akureyri|Keflavik
IR Reykjavik|Kopavogur
Haukar|Leiknir R.
Selfoss|Fylkir
Grotta|Fram
Cerezo Osaka|Urawa
Kobe|Gamba Osaka
Kawasaki|FC Tokyo
Sendai|Kashima
Guadalajara|Santos Laguna
Cimarrones de Sonora|Queretaro
Atlas|Club America
Toluca|Leones Negros
Tijuana|Atlante
Zacatecas|Monarcas
Alebrijes Oaxaca|Club Leon
Cruz Azul|UANL Tigres
Deportivo Capiata|Cerro Porteno
Stranraer|Partick U20
