RUSSIA|NEW ZEALAND|1.85|1.85
PORTUGAL|MEXICO|1.60|2.20
CAMEROON|CHILE|1.75|1.95
AUSTRALIA|GERMANY|2.20|1.60
PORTUGAL U21|SERBIA U21|1.80|1.90
SPAIN U21|MACEDONIA U21|2.20|1.60
GERMANY U21|CZECH REP.U21|1.85|1.80
DENMARK U21|ITALY U21|1.75|1.95
ARSENAL SARANDI|GODOY CRUZ|1.65|2.05
ESTUDIANTES|BELGRANO C.|1.60|2.20
ATL. RAFAELA|QUILMES|1.80|1.90
ALDOSIVI|BOCA JUNIORS|1.70|2.05
VELEZ|SARMIENTO J.|1.75|1.95
NEWELLS|LANUS|1.55|2.35
PATRONATO|TIGRE|1.60|2.20
INDEPENDIENTE|OLIMPO|1.55|2.30
DEFENSA Y.|ATL.TUCUMAN|1.65|2.12
RIVER PLATE|RACING CLUB|1.90|1.80
DOUGLAS HAIG|ALL BOYS|1.40|2.50
NUEVA CHICAGO|FLANDRIA|1.45|2.40
CRUCERO NORTE|ALMAGRO|1.33|2.85
ARGENTINOS JRS|SANTAMARINA|1.60|2.12
ESTUDIANTES S.L.|FERRO C.O.|1.45|2.45
TALLERES REMEDIOS|DEF.DE BELGRANO|1.40|2.60
ACASSUSO|TRISTAN SUAREZ|1.40|2.60
COLEGIALES|DEP. RIESTRA|1.45|2.50
COMUNICACIONES|CA ESTUDIANTES|1.45|2.50
EXCURSIONISTAS|SAN TELMO|1.75|1.90
SP.ITALIANO|ARG. DE MERLO|1.55|2.20
DEP.MERLO|SP.BARRACAS|1.60|2.12
DEF.CAMBACERES|DOCK SUD|1.50|2.25
HEIDELBERG UTD|O.CANNONS|2.00|1.65
SOUTH MELBOURNE|ST ALBANS|3.00|1.30
SYDNEY O.|PARRAMATTA E.|3.70|1.20
WOLLONGONG|BLACKTOWN CITY|2.65|1.40
ROCKDALE C.S.|HAKOAH SYDNEY|2.85|1.33
PERTH SC|BAYSWATER|2.80|1.33
VITEBSK|SLAVIA M.|1.60|2.20
GUABIRA|SAN JOSE|2.55|1.40
WILSTERMANN|ORIENTE P.|2.25|1.50
THE STRONGEST|U.SUCRE|2.65|1.40
ATLETICO GO|ATLETICO|1.60|2.20
VASCO|AVAI|1.80|1.95
SANTOS|PONTE PRETA|1.75|1.95
CORITIBA|CORINTHIANS|1.55|2.30
BAHIA|PALMEIRAS|1.55|2.30
CHAPECOENSE|BOTAFOGO|1.60|2.25
FLUMINENSE|FLAMENGO RJ|1.75|1.95
SAO PAULO|ATLETICO|1.70|2.05
SPORT RECIFE|VITORIA|1.65|2.10
CRUZEIRO|GREMIO|1.65|2.10
BOA|NAUTICO|1.55|2.30
CRB|LONDRINA|1.60|2.20
PAYSANDU PA|JUVENTUDE|1.50|2.45
SANTA CRUZ|INTERNACIONAL|1.80|1.90
BRASIL PELOTAS|VILA NOVA|1.50|2.35
OESTE|AMERICA MG|1.55|2.30
MOGI MIRIM|TUPI|1.60|2.05
TOMBENSE|BRAGANTINO|1.60|2.05
MOTO CLUB|ASA|1.70|1.95
VOLTA REDONDA|YPIRANGA FC|1.60|2.05
JOINVILLE|SAO BENTO|1.60|2.05
BOTAFOGO SP|MACAE|1.65|2.05
SALGUEIRO|CUIABA|1.45|2.40
FORTALEZA|SAMPAIO CORREA|1.80|1.80
BEIJING G.|TIANJIN TEDA|1.80|1.80
GUANGZHOU R&F|SHANGHAI SIPG|2.35|1.50
JIANGSU SUNING|CHANGCHUN Y.|1.85|1.75
LIAONING|SHANDONG L.|2.05|1.65
