VALERENGA|LILLESTROM|2,03|1,70
LIMERICK|ST.PATRICK'S|2,03|1,70
SHIMIZU SP|KOFU|1,62|2,15
JUBILO IWATA|TOKYO|1,76|1,95
YOKOHAMA F.MARINOS|VISSEL KOBE|1,69|2,05
VEGALTA SENDAI|CEREZO OSAKA|1,69|2,05
KYOTO PURPLE SANGA|KANAZAWA|1,69|2,05
M.ZELVIA|TOKYO VERDY|1,62|2,15
YAMAGA|OKAYAMA|1,62|2,15
YOKOHAMA FC|BELLMARE S.|1,60|2,20
EHIME|FUKUOKA|1,62|2,15
YAMAGATA|TOKUSHIMA|1,53|2,35
MITO HOLLYHOCK|KAMATAMARE|1,69|2,05
GIFU|JEF UNITED|1,85|1,85
SANFRECCE HIROSHIMA|OMIYA ARDIJA|1,76|1,95
KASHIMA A.|ALBIREX NIIGATA|2,11|1,65
NAGOYA GE|V-VAREN NAGASAKI|1,80|1,90
GAMBA OSAKA|KAWASAKI F.|1,90|1,80
SANGAN|URAWA RD|1,90|1,80
KASHIWA R.|SAPPORO|1,96|1,75
KUMAMOTO|YAMAGUCHI|1,76|1,95
KUSATSU|OITA TRINITA|1,72|2,00
GEFLE|ATVIDABERG|2,55|1,45
FALKENBERG|SYRIANSKA|2,03|1,70
OSTERS|VARBERGS BOIS FC|1,76|1,95
IK FREJ|GAIS|1,85|1,85
TROMSO|SANDEFJORD|1,90|1,80
AALESUND|ODD GRENLAND|1,96|1,75
SARPSBORG 08|BRANN|2,03|1,70
STABAEK|KRISTIJANSUND|2,11|1,65
ROSENBORG|SOGNDAL|2,55|1,45
TRELLEBORG|BROMMAPOJKARNA|2,03|1,70
DALKURD FF|NORRBY|2,11|1,65
VARNAMO|HELSINGBORG|1,96|1,75
MUHORONI|NAKUMATT|1,47|2,50
DEFENSA JUSTICIA|ATLETICO TUCUMAN|1,80|1,90
ENPPI|AL ITTIHAD|1,55|2,30
AL MOQAWLOON|WADI DEGLA|1,60|2,20
SPORTIVO LUQUENO|LIBERTAD|1,72|2,00
GUARANI ASUNCION|RUBIO NU|2,29|1,55
RIVER PLATE|RACING CLUB|2,11|1,65
SPORTING CRISTAL|ALIANZA LIMA|2,03|1,70
FORTALEZA CE|SAMPAIO CORREA|1,85|1,85
GUALACEO|LDU PORTOVIEJO|1,60|2,20
MILTON|SCARBOROUGH B.|3,55|1,25
PHILADELPHIA|NEW YORK|2,11|1,65
EL TANQUE SISLEY|PENAROL|1,85|1,85
THE STRONGEST|UNIVERSITARIO|3,20|1,30
EMELEC|IND.DEL VALLE|1,72|2,00
SPORT RECIFE|VITORIA|1,76|1,95
WATERLOO|YORK REGION|3,20|1,30
NACIONAL POTOSI|BOLIVAR|2,90|1,35
ATLETICO NACIONAL|DEPORTIVO CALI|2,03|1,70
BUSAN I PARK|SEONGNAM ILHWA|1,62|2,15
BUCHEON|ANYANG|1,72|2,00
PERSIBA B.|BHAYANGKARA SURABAYA|1,96|1,75
PSM|PUSAMANIA BORNEO|2,29|1,55
AUSTRALIA|GERMANY|2,29|1,55
SLOVAKIA M21|ENGLAND M21|1,80|1,90
HONEFOSS|ODD GRENLAND II|2,25|1,50
BRANN|STABAEK|2,11|1,65
TRELLEBORG|GEFLE|2,19|1,60
KRISTIANSTAD|ANGELHOLMS|1,91|1,70
CANTOLAO|COMERCIANTES UNIDOS|1,85|1,85
POLAND M21|SWEDEN M21|1,69|2,05
HAFNARFJORDUR|VIKINGUR|2,29|1,55
AKRANES|FJOLNIR|2,55|1,45
VIKINGUR O.|STJARNAN|2,29|1,55
KR REYKJAVIK|BREIDABLIK|2,19|1,60
CAJAMARCA|UNIVERSIDAD SAN MARTIN|2,03|1,70
CRUZEIRO|GREMIO|1,62|2,15
SPORTS BOYS WARNES|REAL POTOSÍ|2,90|1,35
BOTAFOGO PB|REMO|1,41|2,70
HOUGANG UTD.|CERES|2,70|1,40
SHAKHTYOR|NAFTAN|2,70|1,40
BATE BORISOV|TORPEDO ZHODINO|2,03|1,70
SLUTSK|DINAMO MINSK|1,62|2,15
MINSK|GORODEYA|1,60|2,20
GOMEL|KRUMKACHY MINSK|1,62|2,15
SERBIA M21|MACEDONIA M21|1,90|1,80
FREDRIKSTAD|KONGSVINGER|2,19|1,60
PORTUGAL M21|SPAIN M21|1,85|1,85
JUVENTUDE|PELOTAS|1,60|2,20
NAUTICO|GOIAS|1,69|2,05
AMERICA MINEIRO|SANTA CRUZ|1,62|2,15
FIGUEIRENSE|LUVERDENSE|1,69|2,05
LONDRINA|CRICIUMA|1,62|2,15
ABC RN|CRB|1,69|2,05
PAYSANDU|BOA|1,62|2,15
BLOOMING|PETROLERO|2,90|1,35
INTERNACIONAL|PARANA|1,80|1,90
GUARANI|OESTE|1,53|2,35
VILLA NOVA|CEARA CE|1,60|2,20
SANGJU|JEONNAM D.|1,96|1,75
JEONBUK M.|GANGWON FC|2,03|1,70
GWANGJU SANGMU|SUWON BLUEWINGS|1,62|2,15
INCHEON UNITED|POHANG STEELERS|1,62|2,15
ULSAN|JEJU UNITED|1,96|1,75
SEOUL|DAEGU|1,96|1,75
GEYLANG UNITED|GLOBAL|2,41|1,50
MINSK ISLOCH|VITEBSK|1,69|2,05
SLAVIA MOZYR|DNEPR MOGILEV|1,60|2,20
DINAMO BREST|NEMAN GRODNO|1,62|2,15
RUSSIA|PORTUGAL|1,62|2,15
JJK|HIFK|1,80|1,90
INTER TURKU|KUPS|1,69|2,05
PS KEMI|LAHTI|1,69|2,05
E.I.F.|TPS|2,29|1,55
HAKA|HONKA|2,29|1,55
BK-46|MUSA|2,70|1,35
ESPOO|SAIPA|2,50|1,40
MEXICO|NEW ZEALAND|2,29|1,55
CAMEROON|AUSTRALIA|1,69|2,05
ILVES|SJK|1,55|2,30
VPS|ROPS|1,62|2,15
HELSINKI|MARIEHAMN|2,11|1,65
KPV|JARO|1,96|1,75
ORGRYTE|DEGERFORS|1,96|1,75
GREMIO|CORITIBA|1,69|2,05
BOHEMIANS D.|SLIGO|1,72|2,00
GALWAY|BRAY|2,03|1,70
DERRY CITY|CORK CITY|2,11|1,65
SHAMROCK|DROGHEDA|2,03|1,70
DUNDALK|FINN HARPS|2,41|1,50
